RECLOC,CREATION_DTZ,LAST_NAME,FIRST_NAME,NATIONALITY,CONTACT_PH_NUM,CONTACT_EMAIL,DOC_ID,DOC_TYPE,SPECIAL_NAME_CD1,SPECIAL_NAME_CD2,SSR_CODE_CD1
NFCJPL,8/1/2019,Cool,Ball,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
NFCJPL,3/17/2021,Apple,Ball,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
7I847O,3/17/2021,Bye,Cool,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
7I847O,8/19/2019,Bye,Good,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
R3NNPX,1/20/2020,Ball,Ball,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
R3NNPX,1/5/2020,Good,Ball,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
W9C761,1/5/2020,Apple,Ball,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
W9C761,7/1/2019,Apple,Good,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
SK7X2K,2/19/2020,Good,Cool,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
IRTN90,5/20/2019,Cool,Cool,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
IRTN90,1/14/2020,Apple,Good,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
JO33HS,1/14/2020,Hello,Ball,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
JO33HS,2/23/2019,Apple,Hello,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
HGV4R9,5/15/2020,Good,Cool,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
9RQE6I,5/15/2020,Cool,Bye,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
9RQE6I,11/4/2020,Cool,Good,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
4FFDJ4,11/4/2020,Bye,Good,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
4FFDJ4,4/3/2019,Hello,Apple,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
6Y87YN,5/16/2019,Apple,Good,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
6Y87YN,12/30/2019,Cool,Ball,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
6Y87YN,4/6/2021,Good,Apple,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
TWEW0B,7/16/2019,Hello,Good,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
TWEW0B,3/13/2019,Bye,Hello,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
88FRMB,6/14/2019,Ball,Ball,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
MCMC34,6/29/2019,Good,Hello,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
Q7WWO2,1/16/2019,Cool,Apple,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
Q7WWO2,7/16/2019,Good,Bye,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
Q7WWO2,3/10/2021,Apple,Bye,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
1DQP4N,6/18/2019,Good,Apple,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
1DQP4N,11/8/2020,Apple,Apple,,,,,"{PASSPORT, GOV-ID, DRV-LICENCE}","{ADT,CHD,INF,INS,UNN,S65}","{NRPS, NRSA}","{WCHR,BLND,DEAF}"
